"","care_group","CH","ADC","ECH","MHH","ownership"
"1648","Orchard Care Homes","   61   ","       ","   1    ","       ","P"
"1649","Orchard Care  South West  Ltd","   2    ","       ","       ","       ","P"
"1650","The Orchard Trust","   3    ","       ","       ","       ","V"
"1651","Orchard Vale Trust Ltd","   4    ","       ","       ","       ","V"
"1652","Orchid Care Homes Ltd","   2    ","       ","       ","       ","P"
"1653","The Orders of St John Care Trust","   69   ","   9    ","   8    ","       ","V"
"1654","Ordinary Life Project Association","   10   ","       ","       ","       ","V"
"1655","Oregon Care Ltd","   2    ","       ","       ","       ","P"
"1656","Orione Care","   4    ","       ","       ","       ","V"
"1657","Orkney Islands Council","   8    ","       ","   1    ","       ","L"
"1658","Mr   Mrs C Orr","   2    ","       ","       ","       ","P"
"1659","Orwell Housing Association Ltd","   1    ","       ","   9    ","       ","P"
"1660","Osborne Care Homes Ltd","   2    ","       ","       ","       ","P"
"1661","Ourris Care Homes","   2    ","       ","       ","       ","P"
"1662","Outlook Care","   12   ","       ","   2    ","       ","V"
"1663","Outreach 3 Way","   3    ","       ","       ","       ","V"
"1664","Outreach Community   Residential Services Ltd","   4    ","       ","   1    ","       ","V"
"1665","Outward","   3    ","       ","   2    ","       ","V"
"1666","Overley Hall School Ltd","   2    ","       ","       ","       ","P"
"1667","Mrs E M Owen","   2    ","       ","       ","       ","P"
"1668","Oxbridge Care Ltd","   2    ","       ","       ","       ","P"
"1669","Oxfordshire County Council","       ","   7    ","       ","       ","L"
"1670","PAKS Trust","   4    ","       ","       ","       ","V"
"1671","P   C Care Ltd","   2    ","       ","       ","       ","P"
"1672","P   C Residential Service Ltd","   2    ","       ","       ","       ","P"
"1673","PJ Care Ltd","   3    ","       ","       ","       ","P"
"1674","PK Healthcare Ltd","   1    ","   1    ","       ","       ","P"
"1675","PLUS  Providence   Linc United Services","   5    ","       ","       ","       ","V"
"1676","P   P Community Services Ltd","   3    ","       ","       ","       ","P"
"1677","P R E S S","   2    ","       ","       ","       ","P"
"1678","P W C Care Ltd","   2    ","       ","       ","       ","P"
"1679","Pacific Care Ltd","   4    ","   1    ","       ","       ","P"
"1680","Pages Homes Ltd","   2    ","       ","       ","       ","P"
"1681","Palms Row Health Care Ltd","   3    ","       ","       ","       ","P"
"1682","Panaceon Healthcare Ltd","   2    ","       ","       ","       ","P"
"1683","Roshan Panchoo","   3    ","       ","       ","       ","P"
"1684","S Paneandee","   3    ","       ","       ","       ","P"
"1685","Paradise Lodge Care Home Ltd","   3    ","       ","       ","       ","P"
"1686","Parcs Healthcare Ltd","   3    ","       ","       ","       ","P"
"1687","Farhad Pardhan","   2    ","       ","       ","       ","P"
"1688","Parish of St Helier","   2    ","       ","       ","       ","L"
"1689","Park Care Ltd","   2    ","   1    ","       ","       ","P"
"1690","Park Healthcare Ltd","   1    ","       ","   1    ","       ","P"
"1691","Park Homes UK Ltd","   6    ","       ","       ","       ","P"
"1692","Park Lane Healthcare","   6    ","       ","       ","       ","P"
"1693","Park View Care  North East  Ltd","   2    ","       ","       ","       ","P"
"1694","Parklands Ltd","   6    ","       ","       ","       ","P"
"1695","Parkside Care Ltd","   3    ","   1    ","       ","       ","P"
"1696","Parkside Residential Homes Ltd","   3    ","       ","       ","       ","P"
"1697","Parkview Society Ltd","   4    ","       ","       ","       ","V"
"1698","Mrs L Parry","   2    ","       ","       ","       ","P"
"1699","Partnership Caring Ltd","   4    ","       ","       ","       ","P"
"1700","The Partnership In Care Ltd","   6    ","       ","       ","       ","P"
"1701","Partnerships in Care Ltd","   31   ","       ","       ","   36   ","P"
"1702","Anil Patel","   3    ","       ","       ","       ","P"
"1703","M R Patel","   3    ","       ","       ","       ","P"
"1704","Pathway Healthcare Ltd","   3    ","       ","       ","       ","P"
"1705","Pathways Care Group","   32   ","       ","       ","       ","P"
"1706","Pathways  North West  Ltd","   3    ","       ","       ","       ","P"
"1707","Ian Thomas Patterson","   5    ","       ","       ","       ","P"
"1708","Pavilion Housing Association","       ","       ","   2    ","       ","P"
"1709","Paydens  Nursing Homes  Ltd","   3    ","       ","       ","       ","P"
"1710","Peace Manor Residential Care Ltd","   3    ","       ","       ","       ","P"
"1711","Peace of Mind Healthcare Ltd","   3    ","       ","       ","       ","P"
"1712","Peacock Medicare Ltd","   2    ","       ","       ","       ","P"
"1713","Mark A Peake","   3    ","       ","       ","       ","P"
"1714","Mr   Mrs A Pearce","   2    ","       ","       ","       ","P"
"1715","Pearl Healthcare Ltd","   6    ","   1    ","       ","       ","P"
"1716","Pearlcare","   16   ","       ","       ","       ","P"
"1717","Mr   Mrs S Pearson","   2    ","       ","       ","       ","P"
"1718","Peasmarsh Place  Country Care  Ltd","   2    ","       ","       ","       ","P"
"1719","Mrs Katrina Peerbux","   2    ","       ","       ","       ","P"
"1720","Pembroke Group","   2    ","       ","       ","       ","P"
"1721","Pembroke Nursing Homes Ltd","   2    ","       ","       ","       ","P"
"1722","Pembrokeshire County Council","   5    ","   6    ","   1    ","       ","L"
"1723","Pembrokeshire Housing Association","       ","       ","   2    ","       ","V"
"1724","Pembrokshire Resource Centre Ltd","   2    ","       ","       ","       ","P"
"1725","Pendine Park Care Homes","   6    ","       ","       ","       ","P"
"1726","Pendlebury Care Homes Ltd","   2    ","       ","       ","       ","P"
"1727","Peninsula Care Homes Ltd","   5    ","       ","       ","       ","P"
"1728","Pennine Housing","       ","       ","   3    ","       ","V"
"1729","Penrose Options","   3    ","       ","       ","       ","V"
"1730","Penumbra","   5    ","       ","   1    ","       ","V"
"1731","People First Care Ltd","   2    ","       ","       ","       ","P"
"1732","People in Action","   6    ","       ","       ","       ","V"
"1733","Dr Pepper s Care Corporation Ltd","   2    ","       ","       ","       ","P"
"1734","Percy Hedley Foundation","   2    ","   1    ","       ","       ","V"
"1735","Perpetual Care","   4    ","       ","       ","       ","P"
"1736","Persona Care and Support Ltd","   2    ","       ","       ","       ","P"
"1737","Perth   Kinross Council","   3    ","   3    ","       ","       ","L"
"1738","Perthyn","   2    ","       ","       ","       ","V"
"1739","Peverel Court Care","   3    ","       ","       ","       ","P"
"1740","Pharos Care Ltd","   5    ","       ","       ","       ","P"
"1741","Mr   Mrs Denzil Phillips","   2    ","       ","       ","       ","P"
"1742","Mrs J Phillips and Gordon Brooking","   2    ","       ","       ","       ","P"
"1743","Phoenix Care Homes Ltd","   2    ","       ","       ","       ","P"
"1744","Phoenix Futures","   4    ","       ","       ","       ","V"
"1745","Pilgrim Havens","   11   ","       ","   3    ","       ","V"
"1746","Pilling Care Homes Ltd","   2    ","       ","       ","       ","P"
"1747","Pineview Care Homes Ltd","   4    ","       ","       ","       ","P"
"1748","Pinnacle Care Ltd","   6    ","       ","       ","       ","P"
"1749","Pinpoint Developments Ltd","   2    ","       ","       ","       ","P"
"1750","G Plane and Miss D Newman","   2    ","       ","       ","       ","P"
"1751","Plas Garnedd Care","   2    ","       ","       ","       ","P"
"1752","Plasgeller Care Home Ltd","   4    ","       ","       ","       ","P"
"1753","Platinum Care Homes Ltd","   2    ","       ","       ","       ","P"
"1754","Platinum Care Ltd","   2    ","       ","       ","       ","P"
"1755","Plenus Care Ltd","   2    ","       ","       ","       ","P"
"1756","Polesworth Group Homes Ltd","   7    ","       ","       ","       ","V"
"1757","Polish Housing Society Ltd","   1    ","       ","   1    ","       ","V"
"1758","Popular Care Ltd","   4    ","       ","       ","       ","P"
"1759","Portelet Care Ltd","   2    ","       ","       ","       ","P"
"1760","Porthaven Care Homes","   10   ","       ","       ","       ","P"
"1761","Portsmouth City Council","   5    ","       ","       ","       ","L"
"1762","Positive Approach Services Ltd","   3    ","       ","       ","       ","P"
"1763","Positive Futures","   3    ","       ","       ","       ","P"
"1764","PossAbilities C I C","   2    ","       ","       ","       ","P"
"1765","Potensial Ltd  trading as POTENS","   37   ","   3    ","       ","       ","P"
"1766","John Pownall T A Because We Care","   2    ","       ","       ","       ","P"
"1767","John Pownall","   3    ","       ","       ","       ","P"
"1768","Praxis Care","   13   ","       ","       ","       ","V"
"1769","Precious Homes Ltd","   16   ","       ","   14   ","       ","P"
"1770","Premier Care Homes Ltd","   2    ","       ","       ","       ","P"
"1771","Premiere Care Southern Ltd","   2    ","       ","       ","       ","P"
"1772","Presbyterian Board of Social Witness","   9    ","       ","       ","       ","V"
"1773","Pressbeau Ltd","   7    ","       ","       ","       ","P"
"1774","Prestwick Care","   11   ","       ","       ","       ","P"
"1775","Prestwood Care Services  part of the Caretech Group","   8    ","       ","       ","       ","P"
"1776","Pride Care Homes Peterborough Ltd","   4    ","       ","       ","       ","P"
"1777","Prime Care Group","   3    ","       ","       ","       ","P"
"1778","Prime Life Ltd","   50   ","       ","   1    ","       ","P"
"1779","Primetower Care Ltd","   2    ","       ","       ","       ","P"
"1780","Primrose House Care Home Ltd","   3    ","       ","       ","       ","P"
"1781","Primula Care Ltd","   2    ","       ","       ","       ","P"
"1782","Priority Care Group","   6    ","       ","       ","       ","P"
"1783","Prior s Court Foundation","   3    ","       ","       ","       ","V"
"1784","Priory Education Services","   5    ","       ","       ","       ","P"
"1785","Priory Group","   7    ","       ","       ","   19   ","P"
"1786","Private Medicare Ltd","   2    ","       ","       ","       ","P"
"1787","Mr   Mrs B M Privett","   2    ","       ","       ","       ","P"
"1788","Pro Care Homes Ltd","   4    ","       ","       ","       ","P"
"1789","Pro Care Disperse Housing Ltd","   2    ","       ","       ","       ","P"
"1790","Progress Adult Living Services LLP","   2    ","       ","       ","       ","P"
"1791","Progress Adult Services Ltd","   8    ","       ","       ","       ","P"
"1792","Progress Housing","   3    ","       ","       ","       ","P"
"1793","Progress Pathways Ltd","   2    ","       ","       ","       ","P"
"1794","prOKare Ltd","   3    ","       ","       ","       ","P"
"1795","Prospect Housing and Support Services","   9    ","       ","   1    ","       ","V"
"1796","Prospects for People with Learning Disabilities","   9    ","       ","       ","       ","V"
"1797","Prospects Supported Living Ltd","   5    ","       ","       ","       ","P"
"1798","Tony Proudfoot","   4    ","       ","       ","       ","P"
"1799","Mr   Mrs Kevin R Pryer","   1    ","   1    ","       ","       ","P"
"1800","Purelake Healthcare Ltd","   4    ","       ","       ","       ","P"
"1801","Purley Park Trust Ltd","   8    ","       ","       ","       ","V"
"1802","Bimla Purmah","   2    ","       ","       ","       ","P"
"1803","Qualitas Healthcare Ltd","   2    ","       ","       ","       ","P"
"1804","Quality Care  EM  Ltd","   4    ","       ","       ","       ","P"
"1805","Quality Care Group","   5    ","       ","       ","       ","P"
"1806","Quality Care Homes Ltd","   2    ","       ","       ","       ","P"
"1807","Quality Care Management Ltd","   2    ","       ","       ","       ","P"
"1808","Quality Care Providers Ltd","   2    ","       ","       ","       ","P"
"1809","Quality Care  Surrey  Ltd","   2    ","       ","       ","       ","P"
"1810","Quality Care UK Ltd","   2    ","       ","       ","       ","P"
"1811","Quality Homes  UK  Ltd","   4    ","       ","       ","       ","P"
"1812","Quality Housing   Social Care Ltd","   2    ","       ","       ","       ","P"
"1813","Quality Lifestyle Ltd","   2    ","       ","       ","       ","P"
"1814","Quantum Care Ltd","   26   ","       ","       ","       ","V"
"1815","Quarriers","   9    ","       ","       ","   1    ","V"
"1816","Quarry Mount Care Ltd","   2    ","       ","       ","       ","P"
"1817","Queen Elizabeth s Foundation for Disabled People","   2    ","       ","       ","       ","V"
"1818","Queensland Care Ltd","   2    ","       ","       ","       ","P"
"1819","Quest Haven Ltd","   2    ","       ","       ","       ","P"
"1820","Quinton House Ltd","   2    ","       ","       ","       ","P"
